Dataset,Attack,Count,Percentage
UNSW-NB15,Analysis,1226,0.05183003131785253
UNSW-NB15,Backdoor,4659,0.1969625741516109
UNSW-NB15,Benign,2237731,94.60168663207949
UNSW-NB15,DoS,5980,0.25280879876081414
UNSW-NB15,Exploits,42748,1.8072024296701141
UNSW-NB15,Fuzzers,33816,1.4295957088454332
UNSW-NB15,Generic,19651,0.8307601512456118
UNSW-NB15,Reconnaissance,17074,0.7218156237528663
UNSW-NB15,Shellcode,2381,0.1006584865969061
UNSW-NB15,Worms,158,0.006679563579299102
ToN-IoT,Backdoor,203384,0.7390337155244899
ToN-IoT,Benign,16792214,61.01764300191931
ToN-IoT,ddos,4141256,15.048026435796755
ToN-IoT,dos,203456,0.7392953409597147
ToN-IoT,injection,381777,1.3872579692197675
ToN-IoT,mitm,6013,0.021849357527872194
ToN-IoT,password,1594777,5.79491981543779
ToN-IoT,ransomware,3971,0.014429369489968482
ToN-IoT,scanning,1358977,4.938096515076529
ToN-IoT,xss,2834435,10.2994484790478
BoT-IoT,Benign,51989,0.3070130475082746
BoT-IoT,DDoS,7150882,42.228434384044036
BoT-IoT,DoS,8034190,47.44467399181566
BoT-IoT,Reconnaissance,1695132,10.010341442397362
BoT-IoT,Theft,1615,0.009537134234662398
CSE-CIC-IDS2018,Benign,17514626,87.07017349630726
CSE-CIC-IDS2018,Bot,207703,1.0325505235283645
CSE-CIC-IDS2018,Brute_Force_-Web,1618,0.008043536911209246
CSE-CIC-IDS2018,Brute_Force_-XSS,480,0.002386216141767885
CSE-CIC-IDS2018,DDOS_attack-HOIC,1032311,5.131910774009473
CSE-CIC-IDS2018,DDOS_attack-LOIC-UDP,3450,0.017150928518956672
CSE-CIC-IDS2018,DDoS_attacks-LOIC-HTTP,288589,1.4346577711180253
CSE-CIC-IDS2018,DoS_attacks-GoldenEye,61300,0.30473968643827365
CSE-CIC-IDS2018,DoS_attacks-Hulk,100076,0.4975061804240893
CSE-CIC-IDS2018,DoS_attacks-SlowHTTPTest,105550,0.5247189870075005
CSE-CIC-IDS2018,DoS_attacks-Slowloris,36040,0.17916506197773868
CSE-CIC-IDS2018,FTP-BruteForce,386720,1.9224948048843258
CSE-CIC-IDS2018,Infilteration,188152,0.9353569573039814
CSE-CIC-IDS2018,SQL_Injection,440,0.0021873647966205614
CSE-CIC-IDS2018,SSH-Bruteforce,188474,0.9369577106324174
